spray.date,first.spray.date,mildew.incidence,flagshoot,previous.flagshoot,disease.in.may,pruning,susceptibility.to.r6.Strains,susceptibility.to.nonr6.Strains,synthetic,nonsynthetic,year,group,mi,NonSynthetic,Synthetic,Mixture,Change
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0,0,0,0,2,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0.03,0,0,0,3,1,1,1,0,2014,Synthetic,1,0.222808093,0.509811668,0.267380239,NS
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0.01,0,0,0,3,1,1,1,0,2014,Synthetic,1,0.226655325,0.514089181,0.259255494,NS
155,119,0.01,0,0,0,3,1,1,1,0,2014,Synthetic,1,0.226655325,0.514089181,0.259255494,NS
155,119,0,0,0,0,5,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
128,104,0.01,0,0,0.01,2,2,0,1,0,2014,Synthetic,1,0.879586043,0.106366346,0.014047611,NS
133,119,0.12,0,0,0,5,4,0,1,0,2014,Synthetic,1,0.794403313,0.186080402,0.019516285,NS
133,119,0.12,0,0,0,5,4,0,1,0,2014,Synthetic,1,0.794403313,0.186080402,0.019516285,NS
148,81,0,0,0,0,5,1,1,1,0,2014,Synthetic,0,0.718932472,0.244336008,0.03673152,NS
134,116,0.94,0,0.03,0.07,4,5,0,1,0,2014,Synthetic,1,0.649137684,0.220077186,0.13078513,NS
157,116,0.82,0,0,0,2,4,0,1,0,2014,Synthetic,1,0.28101082,0.417233138,0.301756042,NS
182,140,0.43,0,0,0,2,5,0,1,0,2014,Synthetic,1,0.19150071,0.127027061,0.681472229,NS
182,140,0,0,0,0,2,4,0,1,0,2014,Synthetic,0,0.354871335,0.194967375,0.45016129,NS
182,140,0.43,0,0,0,2,4,0,1,0,2014,Synthetic,1,0.19150071,0.127027061,0.681472229,NS
156,133,0,0,0,0,2,1,1,1,0,2014,Synthetic,0,0.743622288,0.249479272,0.00689844,NS
155,133,0,0,0,0,1,0,0,1,0,2014,Synthetic,0,0.772309226,0.2112397,0.016451074,NS
155,132,0.01,0,0,0,3,1,1,1,0,2014,Synthetic,1,0.758539071,0.234726853,0.006734076,NS
154,127,0,0,0,0,1,1,1,1,0,2014,Synthetic,0,0.786644476,0.20652893,0.006826594,NS
155,132,0.03,0,0,0,2,4,0,1,0,2014,Synthetic,1,0.772025884,0.209993505,0.01798061,NS
